algo,world_size,input_dim,hidden_dim,num_classes,num_layers,model_label,target_vector_size_bytes,total_params,grad_size_bytes,grad_size_mib,steps,batch_size,bucket_cap_mb,threads,repeat_id,total_training_time_sec,avg_step_time_ms,parameter_max_diff,torchrun_status,accepted
builtin,7,507,1,2,1,2KiB,2048,512,2048,0.001953,100,64,25,1,3,0.598,5.976,0.00000000,0,completed
bidirectional-ring,7,1019,1,2,1,4KiB,4096,1024,4096,0.003906,100,64,25,1,3,2.911,29.114,0.00000000,0,completed
ring,7,1019,1,2,1,4KiB,4096,1024,4096,0.003906,100,64,25,1,3,1.743,17.434,0.00000000,0,completed
builtin,7,1019,1,2,1,4KiB,4096,1024,4096,0.003906,100,64,25,1,3,0.600,5.999,0.00000000,0,completed
bidirectional-ring,7,2043,1,2,1,8KiB,8192,2048,8192,0.007812,100,64,25,1,3,2.740,27.398,0.00000000,0,completed
ring,7,2043,1,2,1,8KiB,8192,2048,8192,0.007812,100,64,25,1,3,1.905,19.047,0.00000000,0,completed
builtin,7,2043,1,2,1,8KiB,8192,2048,8192,0.007812,100,64,25,1,3,0.669,6.685,0.00000000,0,completed
bidirectional-ring,7,4091,1,2,1,16KiB,16384,4096,16384,0.015625,100,64,25,1,3,2.776,27.762,0.00000000,0,completed
ring,7,4091,1,2,1,16KiB,16384,4096,16384,0.015625,100,64,25,1,3,1.697,16.970,0.00000000,0,completed
builtin,7,4091,1,2,1,16KiB,16384,4096,16384,0.015625,100,64,25,1,3,0.606,6.065,0.00000000,0,completed
bidirectional-ring,7,8187,1,2,1,32KiB,32768,8192,32768,0.031250,100,64,25,1,3,2.927,29.269,0.00000000,0,completed
ring,7,8187,1,2,1,32KiB,32768,8192,32768,0.031250,100,64,25,1,3,1.658,16.581,0.00000000,0,completed
builtin,7,8187,1,2,1,32KiB,32768,8192,32768,0.031250,100,64,25,1,3,0.616,6.163,0.00000000,0,completed
bidirectional-ring,7,16379,1,2,1,64KiB,65536,16384,65536,0.062500,100,64,25,1,3,2.954,29.541,0.00000000,0,completed
ring,7,16379,1,2,1,64KiB,65536,16384,65536,0.062500,100,64,25,1,3,1.854,18.538,0.00000000,0,completed
builtin,7,16379,1,2,1,64KiB,65536,16384,65536,0.062500,100,64,25,1,3,0.461,4.607,0.00000000,0,completed
bidirectional-ring,7,32763,1,2,1,128KiB,131072,32768,131072,0.125000,100,64,25,1,3,2.648,26.480,0.00000000,0,completed
ring,7,32763,1,2,1,128KiB,131072,32768,131072,0.125000,100,64,25,1,3,1.824,18.241,0.00000000,0,completed
builtin,7,32763,1,2,1,128KiB,131072,32768,131072,0.125000,100,64,25,1,3,0.445,4.452,0.00000000,0,completed
bidirectional-ring,7,65531,1,2,1,256KiB,262144,65536,262144,0.250000,100,64,25,1,3,3.730,37.298,0.00000000,0,completed
ring,7,65531,1,2,1,256KiB,262144,65536,262144,0.250000,100,64,25,1,3,1.882,18.817,0.00000000,0,completed
builtin,7,65531,1,2,1,256KiB,262144,65536,262144,0.250000,100,64,25,1,3,0.679,6.788,0.00000000,0,completed
bidirectional-ring,7,131067,1,2,1,512KiB,524288,131072,524288,0.500000,100,64,25,1,3,2.787,27.872,0.00000000,0,completed
ring,7,131067,1,2,1,512KiB,524288,131072,524288,0.500000,100,64,25,1,3,1.813,18.126,0.00000000,0,completed
builtin,7,131067,1,2,1,512KiB,524288,131072,524288,0.500000,100,64,25,1,3,0.633,6.333,0.00000000,0,completed
bidirectional-ring,7,262139,1,2,1,1MiB,1048576,262144,1048576,1.000000,100,64,25,1,3,3.132,31.320,0.00000000,0,completed
ring,7,262139,1,2,1,1MiB,1048576,262144,1048576,1.000000,100,64,25,1,3,1.768,17.675,0.00000000,0,completed
builtin,7,262139,1,2,1,1MiB,1048576,262144,1048576,1.000000,100,64,25,1,3,0.641,6.411,0.00000000,0,completed
