algo,size_label,target_vector_size_bytes,target_params,input_dim,actual_total_params,actual_vector_size_bytes,world_size,steps,batch_size,bucket_cap_mb,repeat_id,hook_calls,total_training_time_sec,avg_step_time_ms,parameter_max_diff,torchrun_status,accepted,log_file
ring,32B,32,8,3,8,32,3,100,4,64,2,[100; 100; 100],1.485,14.853,0.00000000,0,true,logs_synthetic_vector_size_3gpu/32B_ring_rep2.log
trivance-latency,32B,32,8,3,8,32,3,100,4,64,2,[100; 100; 100],1.811,18.111,0.00000000,0,true,logs_synthetic_vector_size_3gpu/32B_trivance_latency_rep2.log
trivance-bandwidth,32B,32,8,3,8,32,3,100,4,64,2,[100; 100; 100],1.630,16.296,0.00000000,0,true,logs_synthetic_vector_size_3gpu/32B_trivance_bandwidth_rep2.log
builtin,128B,128,32,27,32,128,3,100,4,64,2,[100; 100; 100],0.319,3.192,0.00000000,0,true,logs_synthetic_vector_size_3gpu/128B_builtin_rep2.log
ring,128B,128,32,27,32,128,3,100,4,64,2,[100; 100; 100],0.907,9.068,0.00000000,0,true,logs_synthetic_vector_size_3gpu/128B_ring_rep2.log
trivance-latency,128B,128,32,27,32,128,3,100,4,64,2,[100; 100; 100],1.469,14.687,0.00000001,0,true,logs_synthetic_vector_size_3gpu/128B_trivance_latency_rep2.log
trivance-bandwidth,128B,128,32,27,32,128,3,100,4,64,2,[100; 100; 100],1.579,15.792,0.00000000,0,true,logs_synthetic_vector_size_3gpu/128B_trivance_bandwidth_rep2.log
builtin,512B,512,128,123,128,512,3,100,4,64,2,[100; 100; 100],0.345,3.452,0.00000000,0,true,logs_synthetic_vector_size_3gpu/512B_builtin_rep2.log
ring,512B,512,128,123,128,512,3,100,4,64,2,[100; 100; 100],0.950,9.504,0.00000000,0,true,logs_synthetic_vector_size_3gpu/512B_ring_rep2.log
trivance-latency,512B,512,128,123,128,512,3,100,4,64,2,[100; 100; 100],1.481,14.811,0.00000001,0,true,logs_synthetic_vector_size_3gpu/512B_trivance_latency_rep2.log
trivance-bandwidth,512B,512,128,123,128,512,3,100,4,64,2,[100; 100; 100],1.601,16.010,0.00000000,0,true,logs_synthetic_vector_size_3gpu/512B_trivance_bandwidth_rep2.log
builtin,2KiB,2048,512,507,512,2048,3,100,4,64,2,[100; 100; 100],0.346,3.464,0.00000000,0,true,logs_synthetic_vector_size_3gpu/2KiB_builtin_rep2.log
ring,2KiB,2048,512,507,512,2048,3,100,4,64,2,[100; 100; 100],0.971,9.706,0.00000000,0,true,logs_synthetic_vector_size_3gpu/2KiB_ring_rep2.log
trivance-latency,2KiB,2048,512,507,512,2048,3,100,4,64,2,[100; 100; 100],1.473,14.731,0.00000003,0,true,logs_synthetic_vector_size_3gpu/2KiB_trivance_latency_rep2.log
trivance-bandwidth,2KiB,2048,512,507,512,2048,3,100,4,64,2,[100; 100; 100],1.696,16.963,0.00000000,0,true,logs_synthetic_vector_size_3gpu/2KiB_trivance_bandwidth_rep2.log
builtin,8KiB,8192,2048,2043,2048,8192,3,100,4,64,2,[100; 100; 100],0.302,3.022,0.00000000,0,true,logs_synthetic_vector_size_3gpu/8KiB_builtin_rep2.log
ring,8KiB,8192,2048,2043,2048,8192,3,100,4,64,2,[100; 100; 100],0.962,9.617,0.00000000,0,true,logs_synthetic_vector_size_3gpu/8KiB_ring_rep2.log
trivance-latency,8KiB,8192,2048,2043,2048,8192,3,100,4,64,2,[100; 100; 100],1.640,16.398,0.00000001,0,true,logs_synthetic_vector_size_3gpu/8KiB_trivance_latency_rep2.log
trivance-bandwidth,8KiB,8192,2048,2043,2048,8192,3,100,4,64,2,[100; 100; 100],1.602,16.021,0.00000000,0,true,logs_synthetic_vector_size_3gpu/8KiB_trivance_bandwidth_rep2.log
builtin,32KiB,32768,8192,8187,8192,32768,3,100,4,64,2,[100; 100; 100],0.331,3.307,0.00000000,0,true,logs_synthetic_vector_size_3gpu/32KiB_builtin_rep2.log
ring,32KiB,32768,8192,8187,8192,32768,3,100,4,64,2,[100; 100; 100],0.935,9.350,0.00000000,0,true,logs_synthetic_vector_size_3gpu/32KiB_ring_rep2.log
trivance-latency,32KiB,32768,8192,8187,8192,32768,3,100,4,64,2,[100; 100; 100],1.507,15.073,0.00000001,0,true,logs_synthetic_vector_size_3gpu/32KiB_trivance_latency_rep2.log
trivance-bandwidth,32KiB,32768,8192,8187,8192,32768,3,100,4,64,2,[100; 100; 100],1.653,16.533,0.00000000,0,true,logs_synthetic_vector_size_3gpu/32KiB_trivance_bandwidth_rep2.log
builtin,128KiB,131072,32768,32763,32768,131072,3,100,4,64,2,[100; 100; 100],0.320,3.198,0.00000000,0,true,logs_synthetic_vector_size_3gpu/128KiB_builtin_rep2.log
ring,128KiB,131072,32768,32763,32768,131072,3,100,4,64,2,[100; 100; 100],0.912,9.124,0.00000000,0,true,logs_synthetic_vector_size_3gpu/128KiB_ring_rep2.log
trivance-latency,128KiB,131072,32768,32763,32768,131072,3,100,4,64,2,[100; 100; 100],1.478,14.780,0.00000001,0,true,logs_synthetic_vector_size_3gpu/128KiB_trivance_latency_rep2.log
trivance-bandwidth,128KiB,131072,32768,32763,32768,131072,3,100,4,64,2,[100; 100; 100],1.662,16.621,0.00000000,0,true,logs_synthetic_vector_size_3gpu/128KiB_trivance_bandwidth_rep2.log
builtin,512KiB,524288,131072,131067,131072,524288,3,100,4,64,2,[100; 100; 100],0.327,3.275,0.00000000,0,true,logs_synthetic_vector_size_3gpu/512KiB_builtin_rep2.log
ring,512KiB,524288,131072,131067,131072,524288,3,100,4,64,2,[100; 100; 100],0.943,9.433,0.00000000,0,true,logs_synthetic_vector_size_3gpu/512KiB_ring_rep2.log
trivance-latency,512KiB,524288,131072,131067,131072,524288,3,100,4,64,2,[100; 100; 100],1.457,14.570,0.00000002,0,true,logs_synthetic_vector_size_3gpu/512KiB_trivance_latency_rep2.log
trivance-bandwidth,512KiB,524288,131072,131067,131072,524288,3,100,4,64,2,[100; 100; 100],1.716,17.156,0.00000000,0,true,logs_synthetic_vector_size_3gpu/512KiB_trivance_bandwidth_rep2.log
builtin,2MiB,2097152,524288,524283,524288,2097152,3,100,4,64,2,[100; 100; 100],0.316,3.155,0.00000000,0,true,logs_synthetic_vector_size_3gpu/2MiB_builtin_rep2.log
ring,2MiB,2097152,524288,524283,524288,2097152,3,100,4,64,2,[100; 100; 100],0.993,9.932,0.00000000,0,true,logs_synthetic_vector_size_3gpu/2MiB_ring_rep2.log
trivance-latency,2MiB,2097152,524288,524283,524288,2097152,3,100,4,64,2,[100; 100; 100],1.512,15.121,0.00000075,0,true,logs_synthetic_vector_size_3gpu/2MiB_trivance_latency_rep2.log
trivance-bandwidth,2MiB,2097152,524288,524283,524288,2097152,3,100,4,64,2,[100; 100; 100],1.663,16.634,0.00000000,0,true,logs_synthetic_vector_size_3gpu/2MiB_trivance_bandwidth_rep2.log
builtin,8MiB,8388608,2097152,2097147,2097152,8388608,3,100,4,64,2,[100; 100; 100],0.342,3.416,0.00000000,0,true,logs_synthetic_vector_size_3gpu/8MiB_builtin_rep2.log
ring,8MiB,8388608,2097152,2097147,2097152,8388608,3,100,4,64,2,[100; 100; 100],0.916,9.162,0.00000000,0,true,logs_synthetic_vector_size_3gpu/8MiB_ring_rep2.log
trivance-latency,8MiB,8388608,2097152,2097147,2097152,8388608,3,100,4,64,2,[100; 100; 100],1.547,15.467,0.00000136,0,true,logs_synthetic_vector_size_3gpu/8MiB_trivance_latency_rep2.log
trivance-bandwidth,8MiB,8388608,2097152,2097147,2097152,8388608,3,100,4,64,2,[100; 100; 100],1.723,17.232,0.00000000,0,true,logs_synthetic_vector_size_3gpu/8MiB_trivance_bandwidth_rep2.log
builtin,16MiB,16777216,4194304,4194299,4194304,16777216,3,100,4,64,2,[100; 100; 100],0.376,3.756,0.00000000,0,true,logs_synthetic_vector_size_3gpu/16MiB_builtin_rep2.log
ring,16MiB,16777216,4194304,4194299,4194304,16777216,3,100,4,64,2,[100; 100; 100],1.016,10.156,0.00000000,0,true,logs_synthetic_vector_size_3gpu/16MiB_ring_rep2.log
trivance-latency,16MiB,16777216,4194304,4194299,4194304,16777216,3,100,4,64,2,[100; 100; 100],1.536,15.365,0.00002524,0,true,logs_synthetic_vector_size_3gpu/16MiB_trivance_latency_rep2.log
